Individu,Date_voyage,Code_pays
Trump,2018-01-01T00:00:00.000Z,CAN
Biden,2023-01-01T00:00:00.000Z,CAN
Roosevelt,1939-01-01T00:00:00.000Z,GBR
Roosevelt,1936-01-01T00:00:00.000Z,ARG
Eisenhower,1960-01-01T00:00:00.000Z,ARG
Bush,1990-01-01T00:00:00.000Z,ARG
Clinton,1997-01-01T00:00:00.000Z,ARG
Bush,2005-01-01T00:00:00.000Z,ARG
Obama,2016-01-01T00:00:00.000Z,ARG
Trump,2018-01-01T00:00:00.000Z,ARG
Roosevelt,1936-01-01T00:00:00.000Z,BRA
Truman,1947-01-01T00:00:00.000Z,BRA
Eisenhower,1960-01-01T00:00:00.000Z,BRA
Carter,1978-01-01T00:00:00.000Z,BRA
Reagan,1982-01-01T00:00:00.000Z,BRA
Bush,1990-01-01T00:00:00.000Z,BRA
Clinton,1997-01-01T00:00:00.000Z,BRA
Bush,2005-01-01T00:00:00.000Z,BRA
Obama,2011-01-01T00:00:00.000Z,BRA
Eisenhower,1960-01-01T00:00:00.000Z,CHL
Bush,1990-01-01T00:00:00.000Z,CHL
Clinton,1998-01-01T00:00:00.000Z,CHL
Bush,2004-01-01T00:00:00.000Z,CHL
Obama,2011-01-01T00:00:00.000Z,CHL
Roosevelt,1934-01-01T00:00:00.000Z,COL
Kennedy,1961-01-01T00:00:00.000Z,COL
Reagan,1982-01-01T00:00:00.000Z,COL
Bush,1990-01-01T00:00:00.000Z,COL
Clinton,1998-01-01T00:00:00.000Z,COL
Bush,2004-01-01T00:00:00.000Z,COL
Obama,2012-01-01T00:00:00.000Z,COL
Bush,2002-01-01T00:00:00.000Z,PER
Obama,2016-01-01T00:00:00.000Z,PER
Johnson,1967-01-01T00:00:00.000Z,SUR
Roosevelt,1936-01-01T00:00:00.000Z,URY
Eisenhower,1960-01-01T00:00:00.000Z,URY
Johnson,1967-01-01T00:00:00.000Z,URY
Bush,1990-01-01T00:00:00.000Z,URY
Bush,2007-01-01T00:00:00.000Z,URY
Kennedy,1961-01-01T00:00:00.000Z,VEN
Carter,1978-01-01T00:00:00.000Z,VEN
Bush,1990-01-01T00:00:00.000Z,VEN
Clinton,1997-01-01T00:00:00.000Z,VEN
Nixon,1972-01-01T00:00:00.000Z,CHN
Ford,1975-01-01T00:00:00.000Z,CHN
Reagan,1984-01-01T00:00:00.000Z,CHN
Bush,1989-01-01T00:00:00.000Z,CHN
Clinton,1998-01-01T00:00:00.000Z,CHN
Bush,2001-01-01T00:00:00.000Z,CHN
Obama,2009-01-01T00:00:00.000Z,CHN
Trump,2017-01-01T00:00:00.000Z,CHN
Ford,1974-01-01T00:00:00.000Z,JPN
Carter,1979-01-01T00:00:00.000Z,JPN
Reagan,1983-01-01T00:00:00.000Z,JPN
Bush,1989-01-01T00:00:00.000Z,JPN
Clinton,1993-01-01T00:00:00.000Z,JPN
Bush,2002-01-01T00:00:00.000Z,JPN
Obama,2009-01-01T00:00:00.000Z,JPN
Trump,2017-01-01T00:00:00.000Z,JPN
Biden,2022-01-01T00:00:00.000Z,JPN
Bush,2005-01-01T00:00:00.000Z,MNG
Trump,2019-01-01T00:00:00.000Z,PRK
Eisenhower,1960-01-01T00:00:00.000Z,KOR
Johnson,1966-01-01T00:00:00.000Z,KOR
Ford,1974-01-01T00:00:00.000Z,KOR
Carter,1979-01-01T00:00:00.000Z,KOR
Reagan,1983-01-01T00:00:00.000Z,KOR
Bush,1989-01-01T00:00:00.000Z,KOR
Clinton,1993-01-01T00:00:00.000Z,KOR
Bush,2002-01-01T00:00:00.000Z,KOR
Obama,2009-01-01T00:00:00.000Z,KOR
Trump,2017-01-01T00:00:00.000Z,KOR
Biden,2022-01-01T00:00:00.000Z,KOR
Eisenhower,1960-01-01T00:00:00.000Z,TWN
Eisenhower,1959-01-01T00:00:00.000Z,AFG
Bush,2006-01-01T00:00:00.000Z,AFG
Obama,2010-01-01T00:00:00.000Z,AFG
Trump,2019-01-01T00:00:00.000Z,AFG
Clinton,2000-01-01T00:00:00.000Z,BGD
Eisenhower,1959-01-01T00:00:00.000Z,IND
Nixon,1969-01-01T00:00:00.000Z,IND
Carter,1978-01-01T00:00:00.000Z,IND
Clinton,2000-01-01T00:00:00.000Z,IND
Bush,2006-01-01T00:00:00.000Z,IND
Obama,2010-01-01T00:00:00.000Z,IND
Trump,2020-01-01T00:00:00.000Z,IND
Biden,2023-01-01T00:00:00.000Z,IND
Eisenhower,1959-01-01T00:00:00.000Z,PAK
Johnson,1967-01-01T00:00:00.000Z,PAK
Nixon,1969-01-01T00:00:00.000Z,PAK
Clinton,2000-01-01T00:00:00.000Z,PAK
Bush,2006-01-01T00:00:00.000Z,PAK
Clinton,2000-01-01T00:00:00.000Z,BRN
Obama,2012-01-01T00:00:00.000Z,KHM
Biden,2022-01-01T00:00:00.000Z,KHM
